Country,Air Quality Network,Air Quality Network Name,Air Quality Station EoI Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Unit Of Air Pollution Level,Data Coverage,Verification,Air Quality Station Type,Air Quality Station Area,Longitude,Latitude,Altitude,City,City Code,City Population,Source Of Data Flow,Calculation Time,Link to raw data (only E1a/validated data from AQ e-Reporting),Observation Frequency
"Ireland","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","IE0118A","Mayo Castlebar John Moore Road","SPO.IE.IE0118ASample2_5","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2005","15.549","ug/m3","46.30","","Background","suburban","-9.2997","53.8511","39.0","","","","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","","","IE0119A","","SPO-IE0119A_00005_100","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2005","12.757","ug/m3","40.27","","Background","suburban","-7.2592","52.6494","","","","","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","","","IE0105A","","SPO-IE0105A_00005_100","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2005","20.275","ug/m3","94.25","","Traffic","urban","-6.2667","53.3472","20.0","Dublin                                                                          ","IE001C1                                           ","516255","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","","","IE0107A","","SPO-IE0107A_00005_100","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2005","19.185","ug/m3","87.12","","Traffic","urban","-8.4750","51.9000","10.0","Cork                                                                            ","IE002C1                                           ","118713","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","IE0028A","Dublin Rathmines Wynnefield Road","SPO.IE.IE0028ASample2_5","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2005","18.929","ug/m3","97.81","","Background","urban","-6.2781","53.3539","25.0","Dublin                                                                          ","IE001C1                                           ","516255","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","IE0095A","Dublin Phoenix Park Ordnance Survey Road","SPO.IE.IE0095ASample1_5","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2005","12.124","ug/m3","89.59","","Background","suburban","-6.3490","53.3644","35.0","Dublin                                                                          ","IE001C1                                           ","516255","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","IE0110A","Cork Ballinlough Heatherton Park","SPO.IE.IE0110ASample1_5","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2005","17.271","ug/m3","74.52","","Background","suburban","-8.4571","51.8819","12.0","Cork                                                                            ","IE002C1                                           ","118713","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","IE0098A","Dublin Winetavern Street","SPO.IE.IE0098ASample2_5","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2005","19.270","ug/m3","91.23","","Traffic","urban","-6.2889","53.3417","15.0","Dublin                                                                          ","IE001C1                                           ","516255","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","IE0036A","Dublin Ballyfermot Library","SPO.IE.IE0036ASample2_5","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2005","15.063","ug/m3","92.06","","Background","suburban","-6.3523","53.3405","30.0","Dublin                                                                          ","IE001C1                                           ","516255","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","","","IE0104A","","SPO-IE0104A_00005_100","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2005","18.801","ug/m3","87.95","","Traffic","suburban","-9.0494","53.2819","40.0","Galway                                                                          ","IE004C1                                           ","73963","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","IE0106A","Dublin Marino Brian Road","SPO-IE0106A_00005_100","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2005","14.315","ug/m3","98.63","","Background","suburban","-6.2279","53.3682","20.0","Dublin                                                                          ","IE001C1                                           ","516255","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","","","IE0117A","","SPO-IE0117A_00005_100","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2005","16.611","ug/m3","43.84","","Traffic","suburban","-7.4770","52.9983","30.0","","","","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","","","IE0116A","","SPO-IE0116A_00005_100","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2005","16.758","ug/m3","90.14","","Industrial","rural","-6.3158","53.7000","20.0","","","","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","","","IE0120A","","SPO-IE0120A_00005_100","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2006","32.022","ug/m3","19.45","","Background","suburban","-6.4675","52.3411","","","","","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","","","IE0116A","","SPO-IE0116A_00005_100","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2006","19.384","ug/m3","56.99","","Industrial","rural","-6.3158","53.7000","20.0","","","","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","","","IE0123A","","SPO-IE0123A_00005_100","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2006","22.667","ug/m3","28.49","","Traffic","suburban","-6.1120","53.1997","","","","","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","IE0090A","Monaghan Kilkitt Waterworks","SPO.IE.IE0090ASample2_5","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2006","10.162","ug/m3","71.23","","Background","rural","-6.8831","54.0661","170.0","","","","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","","","IE0107A","","SPO-IE0107A_00005_100","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2006","15.886","ug/m3","89.86","","Traffic","urban","-8.4750","51.9000","10.0","Cork                                                                            ","IE002C1                                           ","118713","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","IE0028A","Dublin Rathmines Wynnefield Road","SPO.IE.IE0028ASample2_5","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2006","19.291","ug/m3","93.70","","Background","urban","-6.2781","53.3539","25.0","Dublin                                                                          ","IE001C1                                           ","516255","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","IE0125A","Galway City Bodkin Roundabout","SPO.IE.IE0125ASample1_5","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2006","13.344","ug/m3","43.84","","Traffic","suburban","-9.0492","53.2817","7.0","Galway                                                                          ","IE004C1                                           ","73963","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","IE0106A","Dublin Marino Brian Road","SPO-IE0106A_00005_100","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2006","15.567","ug/m3","96.44","","Background","suburban","-6.2279","53.3682","20.0","Dublin                                                                          ","IE001C1                                           ","516255","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","IE0110A","Cork Ballinlough Heatherton Park","SPO.IE.IE0110ASample1_5","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2006","18.089","ug/m3","77.81","","Background","suburban","-8.4571","51.8819","12.0","Cork                                                                            ","IE002C1                                           ","118713","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","IE0098A","Dublin Winetavern Street","SPO.IE.IE0098ASample2_5","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2006","19.966","ug/m3","90.69","","Traffic","urban","-6.2889","53.3417","15.0","Dublin                                                                          ","IE001C1                                           ","516255","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","IE0118A","Mayo Castlebar John Moore Road","SPO.IE.IE0118ASample2_5","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2006","16.170","ug/m3","81.92","","Background","suburban","-9.2997","53.8511","39.0","","","","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","","","IE0104A","","SPO-IE0104A_00005_100","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2006","23.431","ug/m3","27.95","","Traffic","suburban","-9.0494","53.2819","40.0","Galway                                                                          ","IE004C1                                           ","73963","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","IE0036A","Dublin Ballyfermot Library","SPO.IE.IE0036ASample2_5","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2006","17.181","ug/m3","92.60","","Background","suburban","-6.3523","53.3405","30.0","Dublin                                                                          ","IE001C1                                           ","516255","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","","","IE0105A","","SPO-IE0105A_00005_100","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2006","21.178","ug/m3","90.96","","Traffic","urban","-6.2667","53.3472","20.0","Dublin                                                                          ","IE001C1                                           ","516255","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
