STATISTIC,Statistic Label,C03171V03833,Area of Residence,C02854V03432,ICD 10 Diagnostic Group,TLIST(A1),Year,UNIT,VALUE
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",-,State,1800,External causes of injury and poisoning,2013,2013,No. per 1000 Pop.,0.32
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",-,State,1800,External causes of injury and poisoning,2014,2014,No. per 1000 Pop.,0.33
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",-,State,1800,External causes of injury and poisoning,2015,2015,No. per 1000 Pop.,0.28
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",-,State,1800,External causes of injury and poisoning,2016,2016,No. per 1000 Pop.,0.28
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",-,State,1800,External causes of injury and poisoning,2017,2017,No. per 1000 Pop.,
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",10,Carlow,200,Neoplasms,2007,2007,No. per 1000 Pop.,1.91
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",10,Carlow,200,Neoplasms,2008,2008,No. per 1000 Pop.,2.02
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",10,Carlow,200,Neoplasms,2009,2009,No. per 1000 Pop.,2.17
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",10,Carlow,200,Neoplasms,2010,2010,No. per 1000 Pop.,1.72
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",10,Carlow,200,Neoplasms,2011,2011,No. per 1000 Pop.,2.33
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",10,Carlow,200,Neoplasms,2012,2012,No. per 1000 Pop.,1.97
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",10,Carlow,200,Neoplasms,2013,2013,No. per 1000 Pop.,2.4
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",10,Carlow,200,Neoplasms,2014,2014,No. per 1000 Pop.,2.08
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",10,Carlow,200,Neoplasms,2015,2015,No. per 1000 Pop.,2.37
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",10,Carlow,200,Neoplasms,2016,2016,No. per 1000 Pop.,2.41
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",10,Carlow,200,Neoplasms,2017,2017,No. per 1000 Pop.,
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",10,Carlow,700,Diseases of the circulatory system,2007,2007,No. per 1000 Pop.,2.26
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",10,Carlow,700,Diseases of the circulatory system,2008,2008,No. per 1000 Pop.,1.92
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",10,Carlow,700,Diseases of the circulatory system,2009,2009,No. per 1000 Pop.,2.9
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",10,Carlow,700,Diseases of the circulatory system,2010,2010,No. per 1000 Pop.,2
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",10,Carlow,700,Diseases of the circulatory system,2011,2011,No. per 1000 Pop.,1.93
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",10,Carlow,700,Diseases of the circulatory system,2012,2012,No. per 1000 Pop.,2.17
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",10,Carlow,700,Diseases of the circulatory system,2013,2013,No. per 1000 Pop.,2.23
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",10,Carlow,700,Diseases of the circulatory system,2014,2014,No. per 1000 Pop.,2.1
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",10,Carlow,700,Diseases of the circulatory system,2015,2015,No. per 1000 Pop.,2.33
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",10,Carlow,700,Diseases of the circulatory system,2016,2016,No. per 1000 Pop.,1.79
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",10,Carlow,700,Diseases of the circulatory system,2017,2017,No. per 1000 Pop.,
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",10,Carlow,800,Diseases of the respiratory system,2007,2007,No. per 1000 Pop.,0.78
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",10,Carlow,800,Diseases of the respiratory system,2008,2008,No. per 1000 Pop.,0.91
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",10,Carlow,800,Diseases of the respiratory system,2009,2009,No. per 1000 Pop.,0.91
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",10,Carlow,800,Diseases of the respiratory system,2010,2010,No. per 1000 Pop.,0.76
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",10,Carlow,800,Diseases of the respiratory system,2011,2011,No. per 1000 Pop.,0.89
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",10,Carlow,800,Diseases of the respiratory system,2012,2012,No. per 1000 Pop.,1.02
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",10,Carlow,800,Diseases of the respiratory system,2013,2013,No. per 1000 Pop.,0.88
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",10,Carlow,800,Diseases of the respiratory system,2014,2014,No. per 1000 Pop.,0.83
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",10,Carlow,800,Diseases of the respiratory system,2015,2015,No. per 1000 Pop.,0.9
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",10,Carlow,800,Diseases of the respiratory system,2016,2016,No. per 1000 Pop.,0.8
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",10,Carlow,800,Diseases of the respiratory system,2017,2017,No. per 1000 Pop.,
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",10,Carlow,1800,External causes of injury and poisoning,2007,2007,No. per 1000 Pop.,0.54
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",10,Carlow,1800,External causes of injury and poisoning,2008,2008,No. per 1000 Pop.,0.3
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",10,Carlow,1800,External causes of injury and poisoning,2009,2009,No. per 1000 Pop.,0.46
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",10,Carlow,1800,External causes of injury and poisoning,2010,2010,No. per 1000 Pop.,0.37
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",10,Carlow,1800,External causes of injury and poisoning,2011,2011,No. per 1000 Pop.,0.31
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",10,Carlow,1800,External causes of injury and poisoning,2012,2012,No. per 1000 Pop.,0.34
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",10,Carlow,1800,External causes of injury and poisoning,2013,2013,No. per 1000 Pop.,0.52
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",10,Carlow,1800,External causes of injury and poisoning,2014,2014,No. per 1000 Pop.,0.34
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",10,Carlow,1800,External causes of injury and poisoning,2015,2015,No. per 1000 Pop.,0.42
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",10,Carlow,1800,External causes of injury and poisoning,2016,2016,No. per 1000 Pop.,0.28
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",10,Carlow,1800,External causes of injury and poisoning,2017,2017,No. per 1000 Pop.,
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",21,Dublin City,200,Neoplasms,2007,2007,No. per 1000 Pop.,2.23
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",21,Dublin City,200,Neoplasms,2008,2008,No. per 1000 Pop.,2.33
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",21,Dublin City,200,Neoplasms,2009,2009,No. per 1000 Pop.,2.24
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",21,Dublin City,200,Neoplasms,2010,2010,No. per 1000 Pop.,2.22
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",21,Dublin City,200,Neoplasms,2011,2011,No. per 1000 Pop.,2.34
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",21,Dublin City,200,Neoplasms,2012,2012,No. per 1000 Pop.,2.26
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",21,Dublin City,200,Neoplasms,2013,2013,No. per 1000 Pop.,2.19
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",21,Dublin City,200,Neoplasms,2014,2014,No. per 1000 Pop.,2.25
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",21,Dublin City,200,Neoplasms,2015,2015,No. per 1000 Pop.,2.32
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",21,Dublin City,200,Neoplasms,2016,2016,No. per 1000 Pop.,2.23
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",21,Dublin City,200,Neoplasms,2017,2017,No. per 1000 Pop.,
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",21,Dublin City,700,Diseases of the circulatory system,2007,2007,No. per 1000 Pop.,2.52
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",21,Dublin City,700,Diseases of the circulatory system,2008,2008,No. per 1000 Pop.,2.63
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",21,Dublin City,700,Diseases of the circulatory system,2009,2009,No. per 1000 Pop.,2.2
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",21,Dublin City,700,Diseases of the circulatory system,2010,2010,No. per 1000 Pop.,2.33
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",21,Dublin City,700,Diseases of the circulatory system,2011,2011,No. per 1000 Pop.,2.26
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",21,Dublin City,700,Diseases of the circulatory system,2012,2012,No. per 1000 Pop.,2.08
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",21,Dublin City,700,Diseases of the circulatory system,2013,2013,No. per 1000 Pop.,2.06
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",21,Dublin City,700,Diseases of the circulatory system,2014,2014,No. per 1000 Pop.,2
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",21,Dublin City,700,Diseases of the circulatory system,2015,2015,No. per 1000 Pop.,2.16
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",21,Dublin City,700,Diseases of the circulatory system,2016,2016,No. per 1000 Pop.,1.97
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",21,Dublin City,700,Diseases of the circulatory system,2017,2017,No. per 1000 Pop.,
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",21,Dublin City,800,Diseases of the respiratory system,2007,2007,No. per 1000 Pop.,0.89
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",21,Dublin City,800,Diseases of the respiratory system,2008,2008,No. per 1000 Pop.,1.01
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",21,Dublin City,800,Diseases of the respiratory system,2009,2009,No. per 1000 Pop.,0.98
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",21,Dublin City,800,Diseases of the respiratory system,2010,2010,No. per 1000 Pop.,0.8
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",21,Dublin City,800,Diseases of the respiratory system,2011,2011,No. per 1000 Pop.,0.84
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",21,Dublin City,800,Diseases of the respiratory system,2012,2012,No. per 1000 Pop.,0.82
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",21,Dublin City,800,Diseases of the respiratory system,2013,2013,No. per 1000 Pop.,0.87
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",21,Dublin City,800,Diseases of the respiratory system,2014,2014,No. per 1000 Pop.,0.75
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",21,Dublin City,800,Diseases of the respiratory system,2015,2015,No. per 1000 Pop.,0.93
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",21,Dublin City,800,Diseases of the respiratory system,2016,2016,No. per 1000 Pop.,0.9
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",21,Dublin City,800,Diseases of the respiratory system,2017,2017,No. per 1000 Pop.,
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",21,Dublin City,1800,External causes of injury and poisoning,2007,2007,No. per 1000 Pop.,0.49
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",21,Dublin City,1800,External causes of injury and poisoning,2008,2008,No. per 1000 Pop.,0.56
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",21,Dublin City,1800,External causes of injury and poisoning,2009,2009,No. per 1000 Pop.,0.45
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",21,Dublin City,1800,External causes of injury and poisoning,2010,2010,No. per 1000 Pop.,0.47
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",21,Dublin City,1800,External causes of injury and poisoning,2011,2011,No. per 1000 Pop.,0.47
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",21,Dublin City,1800,External causes of injury and poisoning,2012,2012,No. per 1000 Pop.,0.44
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",21,Dublin City,1800,External causes of injury and poisoning,2013,2013,No. per 1000 Pop.,0.36
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",21,Dublin City,1800,External causes of injury and poisoning,2014,2014,No. per 1000 Pop.,0.35
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",21,Dublin City,1800,External causes of injury and poisoning,2015,2015,No. per 1000 Pop.,0.27
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",21,Dublin City,1800,External causes of injury and poisoning,2016,2016,No. per 1000 Pop.,0.25
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",21,Dublin City,1800,External causes of injury and poisoning,2017,2017,No. per 1000 Pop.,
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",22,South Dublin,200,Neoplasms,2007,2007,No. per 1000 Pop.,1.47
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",22,South Dublin,200,Neoplasms,2008,2008,No. per 1000 Pop.,1.16
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",22,South Dublin,200,Neoplasms,2009,2009,No. per 1000 Pop.,1.47
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",22,South Dublin,200,Neoplasms,2010,2010,No. per 1000 Pop.,1.51
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",22,South Dublin,200,Neoplasms,2011,2011,No. per 1000 Pop.,1.85
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",22,South Dublin,200,Neoplasms,2012,2012,No. per 1000 Pop.,1.56
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",22,South Dublin,200,Neoplasms,2013,2013,No. per 1000 Pop.,1.66
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",22,South Dublin,200,Neoplasms,2014,2014,No. per 1000 Pop.,1.9
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",22,South Dublin,200,Neoplasms,2015,2015,No. per 1000 Pop.,1.77
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",22,South Dublin,200,Neoplasms,2016,2016,No. per 1000 Pop.,1.74
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",22,South Dublin,200,Neoplasms,2017,2017,No. per 1000 Pop.,
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",22,South Dublin,700,Diseases of the circulatory system,2007,2007,No. per 1000 Pop.,1.88
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",22,South Dublin,700,Diseases of the circulatory system,2008,2008,No. per 1000 Pop.,1
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",22,South Dublin,700,Diseases of the circulatory system,2009,2009,No. per 1000 Pop.,1.66
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",22,South Dublin,700,Diseases of the circulatory system,2010,2010,No. per 1000 Pop.,1.43
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",22,South Dublin,700,Diseases of the circulatory system,2011,2011,No. per 1000 Pop.,1.69
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",22,South Dublin,700,Diseases of the circulatory system,2012,2012,No. per 1000 Pop.,1.57
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",22,South Dublin,700,Diseases of the circulatory system,2013,2013,No. per 1000 Pop.,1.58
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",22,South Dublin,700,Diseases of the circulatory system,2014,2014,No. per 1000 Pop.,1.55
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",22,South Dublin,700,Diseases of the circulatory system,2015,2015,No. per 1000 Pop.,1.59
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",22,South Dublin,700,Diseases of the circulatory system,2016,2016,No. per 1000 Pop.,1.47
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",22,South Dublin,700,Diseases of the circulatory system,2017,2017,No. per 1000 Pop.,
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",22,South Dublin,800,Diseases of the respiratory system,2007,2007,No. per 1000 Pop.,0.56
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",22,South Dublin,800,Diseases of the respiratory system,2008,2008,No. per 1000 Pop.,0.42
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",22,South Dublin,800,Diseases of the respiratory system,2009,2009,No. per 1000 Pop.,0.68
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",22,South Dublin,800,Diseases of the respiratory system,2010,2010,No. per 1000 Pop.,0.65
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",22,South Dublin,800,Diseases of the respiratory system,2011,2011,No. per 1000 Pop.,0.77
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",22,South Dublin,800,Diseases of the respiratory system,2012,2012,No. per 1000 Pop.,0.59
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",22,South Dublin,800,Diseases of the respiratory system,2013,2013,No. per 1000 Pop.,0.68
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",22,South Dublin,800,Diseases of the respiratory system,2014,2014,No. per 1000 Pop.,0.7
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",22,South Dublin,800,Diseases of the respiratory system,2015,2015,No. per 1000 Pop.,0.67
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",22,South Dublin,800,Diseases of the respiratory system,2016,2016,No. per 1000 Pop.,0.54
