year,AreaOfResidence,Latitude,Longitude,parameter,value
2001,ARKLOW (Ballyrichard House),52.834,-6.131,Precipitation Amount,801.4
2001,ARKLOW (Ballyrichard House),52.834,-6.131,Maximum Temperature,14.308
2001,ARKLOW (Ballyrichard House),52.834,-6.131,Minimum Temperature,7.324
2001,ASHFORD (Cronykeery),53.025,-6.075,Greatest Daily Fall,40
2001,ASHFORD (Cronykeery),53.025,-6.075,Number of Rain Days,98
2001,ASHFORD (Cronykeery),53.025,-6.075,Number of Wet Days,65
2001,ASHFORD (Cronykeery),53.025,-6.075,Precipitation Amount,444.3
2001,ASHFORD (Glanmore Gardens),53.023,-6.142,Greatest Daily Fall,46.9
2001,ASHFORD (Glanmore Gardens),53.023,-6.142,Number of Rain Days,165
2001,ASHFORD (Glanmore Gardens),53.023,-6.142,Number of Wet Days,118
2001,ASHFORD (Glanmore Gardens),53.023,-6.142,Precipitation Amount,892.7
2001,ATHEA (Templeathea),52.468,-9.248,Greatest Daily Fall,16.7
2001,ATHEA (Templeathea),52.468,-9.248,Number of Rain Days,126
2001,ATHEA (Templeathea),52.468,-9.248,Number of Wet Days,104
2001,ATHEA (Templeathea),52.468,-9.248,Precipitation Amount,1038.4
2001,ATHLONE (Glynnwood),53.406,-7.846,Greatest Daily Fall,12.8
2001,ATHLONE (Glynnwood),53.406,-7.846,Number of Rain Days,206
2001,ATHLONE (Glynnwood),53.406,-7.846,Number of Wet Days,146
2001,ATHLONE (Glynnwood),53.406,-7.846,Precipitation Amount,649.1
2001,ATHLONE O.P.W.,53.422,-7.941,Greatest Daily Fall,25
2001,ATHLONE O.P.W.,53.422,-7.941,Number of Rain Days,200
2001,ATHLONE O.P.W.,53.422,-7.941,Number of Wet Days,145
2001,ATHLONE O.P.W.,53.422,-7.941,Precipitation Amount,684.1
2001,ATHY (Chanterlands),52.985,-6.975,Greatest Daily Fall,26
2001,ATHY (Chanterlands),52.985,-6.975,Number of Rain Days,198
2001,ATHY (Chanterlands),52.985,-6.975,Number of Wet Days,123
2001,ATHY (Chanterlands),52.985,-6.975,Precipitation Amount,700.6
2001,ATHY (Chanterlands),52.985,-6.975,Maximum Temperature,13.793
2001,ATHY (Chanterlands),52.985,-6.975,Minimum Temperature,5.909
2001,AUGHNASHEELAN (Miskawn),54.085,-7.869,Greatest Daily Fall,18.3
2001,AUGHNASHEELAN (Miskawn),54.085,-7.869,Number of Rain Days,200
2001,AUGHNASHEELAN (Miskawn),54.085,-7.869,Number of Wet Days,149
2001,AUGHNASHEELAN (Miskawn),54.085,-7.869,Precipitation Amount,792.7
2001,BAILIEBORO (Duneena),53.944,-7.019,Greatest Daily Fall,19.1
2001,BAILIEBORO (Duneena),53.944,-7.019,Number of Rain Days,212
2001,BAILIEBORO (Duneena),53.944,-7.019,Number of Wet Days,161
2001,BAILIEBORO (Duneena),53.944,-7.019,Precipitation Amount,800.3
2001,BAILIEBORO (Leiter),53.932,-7.013,Greatest Daily Fall,25.7
2001,BAILIEBORO (Leiter),53.932,-7.013,Number of Rain Days,221
2001,BAILIEBORO (Leiter),53.932,-7.013,Number of Wet Days,152
2001,BAILIEBORO (Leiter),53.932,-7.013,Precipitation Amount,801.4
2001,BALLINA (Attymass),54.051,-9.075,Greatest Daily Fall,40.1
2001,BALLINA (Attymass),54.051,-9.075,Number of Rain Days,192
2001,BALLINA (Attymass),54.051,-9.075,Number of Wet Days,150
2001,BALLINA (Attymass),54.051,-9.075,Precipitation Amount,1020.3
2001,BALLINA (Shanaghy),54.109,-9.137,Greatest Daily Fall,30.7
2001,BALLINA (Shanaghy),54.109,-9.137,Number of Rain Days,244
2001,BALLINA (Shanaghy),54.109,-9.137,Number of Wet Days,183
2001,BALLINA (Shanaghy),54.109,-9.137,Precipitation Amount,979.6
2001,BALLINA GOLF CLUB,54.108,-9.134,Greatest Daily Fall,29
2001,BALLINA GOLF CLUB,54.108,-9.134,Number of Rain Days,232
2001,BALLINA GOLF CLUB,54.108,-9.134,Number of Wet Days,171
2001,BALLINA GOLF CLUB,54.108,-9.134,Precipitation Amount,903.6
2001,BALLINAMULT (Doon),52.213,-7.748,Greatest Daily Fall,46.5
2001,BALLINAMULT (Doon),52.213,-7.748,Number of Rain Days,211
2001,BALLINAMULT (Doon),52.213,-7.748,Number of Wet Days,148
2001,BALLINAMULT (Doon),52.213,-7.748,Precipitation Amount,1046.2
2001,BALLINASLOE (Derrymullen),53.341,-8.251,Greatest Daily Fall,17.6
2001,BALLINASLOE (Derrymullen),53.341,-8.251,Number of Rain Days,213
2001,BALLINASLOE (Derrymullen),53.341,-8.251,Number of Wet Days,161
2001,BALLINASLOE (Derrymullen),53.341,-8.251,Precipitation Amount,776.8
2001,BALLINCURRIG (Peafield),52.011,-8.201,Greatest Daily Fall,54.4
2001,BALLINCURRIG (Peafield),52.011,-8.201,Number of Rain Days,205
2001,BALLINCURRIG (Peafield),52.011,-8.201,Number of Wet Days,144
2001,BALLINCURRIG (Peafield),52.011,-8.201,Precipitation Amount,1143.5
2001,BALLINCURRIG (Peafield),52.011,-8.201,Maximum Temperature,13.484
2001,BALLINCURRIG (Peafield),52.011,-8.201,Minimum Temperature,5.901
2001,BALLINEEN (Caherkirky),51.691,-8.987,Greatest Daily Fall,72.5
2001,BALLINEEN (Caherkirky),51.691,-8.987,Number of Rain Days,206
2001,BALLINEEN (Caherkirky),51.691,-8.987,Number of Wet Days,161
2001,BALLINEEN (Caherkirky),51.691,-8.987,Precipitation Amount,1440.9
2001,BALLINEEN (Caherkirky),51.691,-8.987,Maximum Temperature,16.028
2001,BALLINEEN (Caherkirky),51.691,-8.987,Minimum Temperature,8.186
2001,BALLINEEN (Carbery),51.731,-8.977,Greatest Daily Fall,48.8
2001,BALLINEEN (Carbery),51.731,-8.977,Number of Rain Days,187
2001,BALLINEEN (Carbery),51.731,-8.977,Number of Wet Days,149
2001,BALLINEEN (Carbery),51.731,-8.977,Precipitation Amount,1270
2001,BALLINGEARY (Voc.Sch.),51.85,-9.233,Greatest Daily Fall,43.8
2001,BALLINGEARY (Voc.Sch.),51.85,-9.233,Number of Rain Days,180
2001,BALLINGEARY (Voc.Sch.),51.85,-9.233,Number of Wet Days,147
2001,BALLINGEARY (Voc.Sch.),51.85,-9.233,Precipitation Amount,1551.3
2001,BALLINSKELLIGS THE GLEN,51.851,-10.331,Precipitation Amount,783.2
2001,BALLYBODEN,53.276,-6.304,Greatest Daily Fall,24.3
2001,BALLYBODEN,53.276,-6.304,Number of Rain Days,57
2001,BALLYBODEN,53.276,-6.304,Number of Wet Days,41
2001,BALLYBODEN,53.276,-6.304,Precipitation Amount,294.3
2001,BALLYBOFEY NAVENNY,54.793,-7.773,Greatest Daily Fall,24.7
2001,BALLYBOFEY NAVENNY,54.793,-7.773,Number of Rain Days,235
2001,BALLYBOFEY NAVENNY,54.793,-7.773,Number of Wet Days,171
2001,BALLYBOFEY NAVENNY,54.793,-7.773,Precipitation Amount,1045.3
2001,BALLYCONNELL (Mullaghduff),54.107,-7.569,Greatest Daily Fall,23
2001,BALLYCONNELL (Mullaghduff),54.107,-7.569,Number of Rain Days,207
2001,BALLYCONNELL (Mullaghduff),54.107,-7.569,Number of Wet Days,135
2001,BALLYCONNELL (Mullaghduff),54.107,-7.569,Precipitation Amount,782.8
2001,BALLYDESMOND,52.181,-9.244,Greatest Daily Fall,29.1
2001,BALLYDESMOND,52.181,-9.244,Number of Rain Days,226
2001,BALLYDESMOND,52.181,-9.244,Number of Wet Days,174
2001,BALLYDESMOND,52.181,-9.244,Precipitation Amount,1414.4
2001,BALLYEDMONDUFF HOUSE,53.233,-6.225,Greatest Daily Fall,63.7
2001,BALLYEDMONDUFF HOUSE,53.233,-6.225,Number of Rain Days,191
2001,BALLYEDMONDUFF HOUSE,53.233,-6.225,Number of Wet Days,143
2001,BALLYEDMONDUFF HOUSE,53.233,-6.225,Precipitation Amount,1051.5
2001,BALLYHAHILL_Glenbawn,52.512,-9.207,Greatest Daily Fall,20.8
2001,BALLYHAHILL_Glenbawn,52.512,-9.207,Number of Rain Days,234
2001,BALLYHAHILL_Glenbawn,52.512,-9.207,Number of Wet Days,189
2001,BALLYHAHILL_Glenbawn,52.512,-9.207,Precipitation Amount,1150.6
2001,BALLYHAISE (AGR.COLL.),54.051111111111105,-7.31,Mean Temperature,93.561
2001,BALLYHOOLY (Castleblagh),52.129,-8.41,Greatest Daily Fall,39.1
2001,BALLYHOOLY (Castleblagh),52.129,-8.41,Number of Rain Days,178
2001,BALLYHOOLY (Castleblagh),52.129,-8.41,Number of Wet Days,140
2001,BALLYHOOLY (Castleblagh),52.129,-8.41,Precipitation Amount,964.5
2001,BALLYJAMESDUFF (Kilcully),53.858,-7.201,Greatest Daily Fall,18.4
2001,BALLYJAMESDUFF (Kilcully),53.858,-7.201,Number of Rain Days,204
2001,BALLYJAMESDUFF (Kilcully),53.858,-7.201,Number of Wet Days,165
2001,BALLYJAMESDUFF (Kilcully),53.858,-7.201,Precipitation Amount,824.6
2001,BALLYMACODA (Mountcotton),51.882,-7.921,Greatest Daily Fall,25.6
2001,BALLYMACODA (Mountcotton),51.882,-7.921,Number of Rain Days,161
2001,BALLYMACODA (Mountcotton),51.882,-7.921,Number of Wet Days,137
2001,BALLYMACODA (Mountcotton),51.882,-7.921,Precipitation Amount,898
2001,BALLYMORE EUSTACE D.C.W.W.,53.125,-6.606,Greatest Daily Fall,34.6
2001,BALLYMORE EUSTACE D.C.W.W.,53.125,-6.606,Number of Rain Days,208
2001,BALLYMORE EUSTACE D.C.W.W.,53.125,-6.606,Number of Wet Days,136
2001,BALLYMORE EUSTACE D.C.W.W.,53.125,-6.606,Precipitation Amount,719.6
2001,BALLYNAHINCH,53.078,-6.169,Greatest Daily Fall,57.4
2001,BALLYNAHINCH,53.078,-6.169,Number of Rain Days,159
2001,BALLYNAHINCH,53.078,-6.169,Number of Wet Days,116
2001,BALLYNAHINCH,53.078,-6.169,Precipitation Amount,971.8
2001,BALLYROAN (Oatlands),52.925,-7.327,Greatest Daily Fall,30.3
2001,BALLYROAN (Oatlands),52.925,-7.327,Number of Rain Days,183
2001,BALLYROAN (Oatlands),52.925,-7.327,Number of Wet Days,119
2001,BALLYROAN (Oatlands),52.925,-7.327,Precipitation Amount,664.7
2001,BALLYSHANNON (CATHLEENS FALL),54.5,-8.178888888888888,Mean Temperature,96
2001,BALLYSHANNON (Cathleen's Fall),54.498,-8.176,Greatest Daily Fall,26.4
2001,BALLYSHANNON (Cathleen's Fall),54.498,-8.176,Number of Rain Days,239
2001,BALLYSHANNON (Cathleen's Fall),54.498,-8.176,Number of Wet Days,184
2001,BALLYSHANNON (Cathleen's Fall),54.498,-8.176,Precipitation Amount,1055.9
2001,BALLYSHANNON (Cathleen's Fall),54.498,-8.176,Maximum Temperature,12.776
2001,BALLYSHANNON (Cathleen's Fall),54.498,-8.176,Minimum Temperature,6.596
2001,BALLYSHANNON (Cherrymount),54.492,-8.154,Greatest Daily Fall,23.6
2001,BALLYSHANNON (Cherrymount),54.492,-8.154,Number of Rain Days,237
2001,BALLYSHANNON (Cherrymount),54.492,-8.154,Number of Wet Days,187
2001,BALLYSHANNON (Cherrymount),54.492,-8.154,Precipitation Amount,1072.2
2001,BANGOR ERRIS (Main Street),54.145,-9.741,Greatest Daily Fall,23.7
2001,BANGOR ERRIS (Main Street),54.145,-9.741,Number of Rain Days,252
2001,BANGOR ERRIS (Main Street),54.145,-9.741,Number of Wet Days,206
2001,BANGOR ERRIS (Main Street),54.145,-9.741,Precipitation Amount,1181.5
2001,BANSHA (Aherlow W.W.),52.403,-8.124,Greatest Daily Fall,45.2
2001,BANSHA (Aherlow W.W.),52.403,-8.124,Number of Rain Days,209
2001,BANSHA (Aherlow W.W.),52.403,-8.124,Number of Wet Days,147
2001,BANSHA (Aherlow W.W.),52.403,-8.124,Precipitation Amount,1258.8
2001,BANTEER LYRE,52.081,-8.853,Greatest Daily Fall,39
2001,BANTEER LYRE,52.081,-8.853,Number of Rain Days,216
2001,BANTEER LYRE,52.081,-8.853,Number of Wet Days,167
2001,BANTEER LYRE,52.081,-8.853,Precipitation Amount,1244.8
2001,BANTRY (Shandrum),51.714,-9.417,Greatest Daily Fall,15.5
2001,BANTRY (Shandrum),51.714,-9.417,Number of Rain Days,16
2001,BANTRY (Shandrum),51.714,-9.417,Number of Wet Days,15
2001,BANTRY (Shandrum),51.714,-9.417,Precipitation Amount,221.8
2001,BARTLEMY,52.04,-8.264,Greatest Daily Fall,25.7
2001,BARTLEMY,52.04,-8.264,Number of Rain Days,80
2001,BARTLEMY,52.04,-8.264,Number of Wet Days,57
2001,BARTLEMY,52.04,-8.264,Precipitation Amount,889.4
2001,BAWNASKEHY CASTLEISLAND,52.201,-9.438,Greatest Daily Fall,27.4
2001,BAWNASKEHY CASTLEISLAND,52.201,-9.438,Number of Rain Days,231
2001,BAWNASKEHY CASTLEISLAND,52.201,-9.438,Number of Wet Days,189
2001,BAWNASKEHY CASTLEISLAND,52.201,-9.438,Precipitation Amount,932.4
2001,BELDERRIG,54.31,-9.567,Greatest Daily Fall,57.6
2001,BELDERRIG,54.31,-9.567,Number of Rain Days,268
2001,BELDERRIG,54.31,-9.567,Number of Wet Days,223
2001,BELDERRIG,54.31,-9.567,Precipitation Amount,1294.7
2001,BELDERRIG,54.31,-9.567,Maximum Temperature,12.375
2001,BELDERRIG,54.31,-9.567,Minimum Temperature,6.788
2001,BELLACORRICK (MONEYNIERIN),54.11694444444444,-9.546944444444444,Mean Temperature,96.204
2001,BELLEWSTOWN (Collierstown),53.641,-6.36,Greatest Daily Fall,23.9
2001,BELLEWSTOWN (Collierstown),53.641,-6.36,Number of Rain Days,199
2001,BELLEWSTOWN (Collierstown),53.641,-6.36,Number of Wet Days,138
2001,BELLEWSTOWN (Collierstown),53.641,-6.36,Precipitation Amount,664.8
2001,BELMULLET,54.228,-10.007,Precipitation Amount,990.5
2001,BELMULLET,54.23,-10,Mean Temperature,102.784
2001,BELTURBET (Naughan),54.134,-7.439,Greatest Daily Fall,21.2
2001,BELTURBET (Naughan),54.134,-7.439,Number of Rain Days,207
2001,BELTURBET (Naughan),54.134,-7.439,Number of Wet Days,159
2001,BELTURBET (Naughan),54.134,-7.439,Precipitation Amount,736.2
2001,BIRR,53.09027777777778,-7.876388888888889,Mean Temperature,97.334
2001,BLESSINGTON (Hempstown),53.198,-6.504,Greatest Daily Fall,30.5
2001,BLESSINGTON (Hempstown),53.198,-6.504,Number of Rain Days,179
2001,BLESSINGTON (Hempstown),53.198,-6.504,Number of Wet Days,130
2001,BLESSINGTON (Hempstown),53.198,-6.504,Precipitation Amount,738.6
2001,BLOODY FORELAND,55.143,-8.228,Greatest Daily Fall,24.9
2001,BLOODY FORELAND,55.143,-8.228,Number of Rain Days,249
2001,BLOODY FORELAND,55.143,-8.228,Number of Wet Days,206
2001,BLOODY FORELAND,55.143,-8.228,Precipitation Amount,1118.6
2001,BOOLAVOGUE (Knockavocca),52.557,-6.451,Greatest Daily Fall,42.6
2001,BOOLAVOGUE (Knockavocca),52.557,-6.451,Number of Rain Days,191
2001,BOOLAVOGUE (Knockavocca),52.557,-6.451,Number of Wet Days,128
2001,BOOLAVOGUE (Knockavocca),52.557,-6.451,Precipitation Amount,908.4
2001,BOORA,53.22805555555556,-7.731111111111111,Mean Temperature,101.346
2001,BOYLE (Marian Road),53.969,-8.306,Greatest Daily Fall,44.2
2001,BOYLE (Marian Road),53.969,-8.306,Number of Rain Days,234
2001,BOYLE (Marian Road),53.969,-8.306,Number of Wet Days,164
2001,BOYLE (Marian Road),53.969,-8.306,Precipitation Amount,987.5
2001,BRITTAS (Glenaraneen),53.251,-6.451,Greatest Daily Fall,29.9
2001,BRITTAS (Glenaraneen),53.251,-6.451,Number of Rain Days,96
2001,BRITTAS (Glenaraneen),53.251,-6.451,Number of Wet Days,72
2001,BRITTAS (Glenaraneen),53.251,-6.451,Precipitation Amount,817
2001,BRUCKLESS,54.637,-8.387,Greatest Daily Fall,30.2
2001,BRUCKLESS,54.637,-8.387,Number of Rain Days,240
2001,BRUCKLESS,54.637,-8.387,Number of Wet Days,197
2001,BRUCKLESS,54.637,-8.387,Precipitation Amount,1175.4
2001,BUNCLODY (Corragh),52.682,-6.606,Greatest Daily Fall,30.8
2001,BUNCLODY (Corragh),52.682,-6.606,Number of Rain Days,197
2001,BUNCLODY (Corragh),52.682,-6.606,Number of Wet Days,131
2001,BUNCLODY (Corragh),52.682,-6.606,Precipitation Amount,938.4
2001,CAHIR (Vocational School),52.381,-7.919,Greatest Daily Fall,17.5
2001,CAHIR (Vocational School),52.381,-7.919,Number of Rain Days,41
2001,CAHIR (Vocational School),52.381,-7.919,Number of Wet Days,35
2001,CAHIR (Vocational School),52.381,-7.919,Precipitation Amount,842.3
2001,CAHIR PARK II,52.356,-7.929,Greatest Daily Fall,44.4
2001,CAHIR PARK II,52.356,-7.929,Number of Rain Days,183
2001,CAHIR PARK II,52.356,-7.929,Number of Wet Days,140
2001,CAHIR PARK II,52.356,-7.929,Precipitation Amount,904.4
2001,CAHORE (Kilmichael House),52.562,-6.211,Greatest Daily Fall,56.3
2001,CAHORE (Kilmichael House),52.562,-6.211,Number of Rain Days,175
2001,CAHORE (Kilmichael House),52.562,-6.211,Number of Wet Days,128
2001,CAHORE (Kilmichael House),52.562,-6.211,Precipitation Amount,781.6
2001,CAHORE (Kilmichael House),52.562,-6.211,Maximum Temperature,14.119
2001,CAHORE (Kilmichael House),52.562,-6.211,Minimum Temperature,6.771
2001,CALLAN (Moonarche),52.534,-7.421,Greatest Daily Fall,26.3
2001,CALLAN (Moonarche),52.534,-7.421,Number of Rain Days,189
2001,CALLAN (Moonarche),52.534,-7.421,Number of Wet Days,128
2001,CALLAN (Moonarche),52.534,-7.421,Precipitation Amount,842.1
2001,CAMUS,53.374,-9.559,Greatest Daily Fall,29.8
2001,CAMUS,53.374,-9.559,Number of Rain Days,214
2001,CAMUS,53.374,-9.559,Number of Wet Days,168
2001,CAMUS,53.374,-9.559,Precipitation Amount,1097.8
2001,CARHEENY BEG,52.996,-8.831,Greatest Daily Fall,31.2
2001,CARHEENY BEG,52.996,-8.831,Number of Rain Days,205
2001,CARHEENY BEG,52.996,-8.831,Number of Wet Days,159
2001,CARHEENY BEG,52.996,-8.831,Precipitation Amount,940.9
2001,CARNDOLLA,53.403,-9.016,Greatest Daily Fall,33.2
2001,CARNDOLLA,53.403,-9.016,Number of Rain Days,224
2001,CARNDOLLA,53.403,-9.016,Number of Wet Days,145
2001,CARNDOLLA,53.403,-9.016,Precipitation Amount,814.2
2001,CARNDONAGH (Rocksmount) II,55.258,-7.239,Greatest Daily Fall,32.2
2001,CARNDONAGH (Rocksmount) II,55.258,-7.239,Number of Rain Days,234
2001,CARNDONAGH (Rocksmount) II,55.258,-7.239,Number of Wet Days,180
2001,CARNDONAGH (Rocksmount) II,55.258,-7.239,Precipitation Amount,957.8
2001,CARNEW (Cronyhorn),52.717,-6.512,Greatest Daily Fall,45.4
2001,CARNEW (Cronyhorn),52.717,-6.512,Number of Rain Days,179
2001,CARNEW (Cronyhorn),52.717,-6.512,Number of Wet Days,136
2001,CARNEW (Cronyhorn),52.717,-6.512,Precipitation Amount,897.3
2001,CARRICK-ON-SUIR II,52.342,-7.409,Greatest Daily Fall,42.9
2001,CARRICK-ON-SUIR II,52.342,-7.409,Number of Rain Days,188
2001,CARRICK-ON-SUIR II,52.342,-7.409,Number of Wet Days,130
2001,CARRICK-ON-SUIR II,52.342,-7.409,Precipitation Amount,1035.3
2001,CARRICKMACROSS (DUNOGE),53.97805555555556,-6.753055555555555,Mean Temperature,96.109
2001,CARRICKMACROSS (Dunoge),53.975,-6.755,Greatest Daily Fall,28.2
2001,CARRICKMACROSS (Dunoge),53.975,-6.755,Number of Rain Days,193
2001,CARRICKMACROSS (Dunoge),53.975,-6.755,Number of Wet Days,133
2001,CARRICKMACROSS (Dunoge),53.975,-6.755,Precipitation Amount,687.1
2001,CARRICKMACROSS (Dunoge),53.975,-6.755,Maximum Temperature,13.73
2001,CARRICKMACROSS (Dunoge),53.975,-6.755,Minimum Temperature,5.297
2001,CARRIGADROHID (Gen. Station),51.897,-8.863,Greatest Daily Fall,34.9
2001,CARRIGADROHID (Gen. Station),51.897,-8.863,Number of Rain Days,213
2001,CARRIGADROHID (Gen. Station),51.897,-8.863,Number of Wet Days,147
2001,CARRIGADROHID (Gen. Station),51.897,-8.863,Precipitation Amount,1038.9
2001,CARRIGANS (Kildrum),54.979,-7.415,Greatest Daily Fall,24.8
2001,CARRIGANS (Kildrum),54.979,-7.415,Number of Rain Days,238
2001,CARRIGANS (Kildrum),54.979,-7.415,Number of Wet Days,175
2001,CARRIGANS (Kildrum),54.979,-7.415,Precipitation Amount,812.9
2001,CARROWMORE LACKEN,54.261,-9.274,Greatest Daily Fall,32.6
2001,CARROWMORE LACKEN,54.261,-9.274,Number of Rain Days,174
2001,CARROWMORE LACKEN,54.261,-9.274,Number of Wet Days,142
2001,CARROWMORE LACKEN,54.261,-9.274,Precipitation Amount,1054
2001,CASEMENT,53.306,-6.439,Precipitation Amount,581.1
2001,CASEMENT AERODROME,53.30611111111111,-6.438888888888889,Mean Temperature,96.26
2001,CASHEL (Ballinamona),52.511,-7.929,Greatest Daily Fall,18
2001,CASHEL (Ballinamona),52.511,-7.929,Number of Rain Days,41
2001,CASHEL (Ballinamona),52.511,-7.929,Number of Wet Days,33
2001,CASHEL (Ballinamona),52.511,-7.929,Precipitation Amount,789.6
2001,CASTLEBAR (Burren),53.914,-9.307,Greatest Daily Fall,29.6
2001,CASTLEBAR (Burren),53.914,-9.307,Number of Rain Days,96
2001,CASTLEBAR (Burren),53.914,-9.307,Number of Wet Days,82
2001,CASTLEBAR (Burren),53.914,-9.307,Precipitation Amount,959.8
2001,CASTLEDERMOT Kilkea House,52.935,-6.892,Greatest Daily Fall,29.5
2001,CASTLEDERMOT Kilkea House,52.935,-6.892,Number of Rain Days,101
2001,CASTLEDERMOT Kilkea House,52.935,-6.892,Number of Wet Days,81
2001,CASTLEDERMOT Kilkea House,52.935,-6.892,Precipitation Amount,650.1
2001,CASTLEISLAND (Coom),52.233,-9.356,Greatest Daily Fall,25.9
2001,CASTLEISLAND (Coom),52.233,-9.356,Number of Rain Days,220
2001,CASTLEISLAND (Coom),52.233,-9.356,Number of Wet Days,161
2001,CASTLEISLAND (Coom),52.233,-9.356,Precipitation Amount,981.7
2001,CASTLEISLAND (Kilmurry),52.237,-9.378,Greatest Daily Fall,26.8
2001,CASTLEISLAND (Kilmurry),52.237,-9.378,Number of Rain Days,239
2001,CASTLEISLAND (Kilmurry),52.237,-9.378,Number of Wet Days,193
2001,CASTLEISLAND (Kilmurry),52.237,-9.378,Precipitation Amount,1073.7
2001,CASTLEMAHON W.W.,52.429,-9.007,Greatest Daily Fall,20.6
2001,CASTLEMAHON W.W.,52.429,-9.007,Number of Rain Days,208
2001,CASTLEMAHON W.W.,52.429,-9.007,Number of Wet Days,147
2001,CASTLEMAHON W.W.,52.429,-9.007,Precipitation Amount,794.1
2001,CLAREMORRIS,53.711,-8.993,Precipitation Amount,905.6
2001,CLAREMORRIS,53.72,-8.98,Mean Temperature,91.901
2001,CLEGGAN (Cloch Breac),53.555,-10.109,Greatest Daily Fall,35.4
2001,CLEGGAN (Cloch Breac),53.555,-10.109,Number of Rain Days,181
2001,CLEGGAN (Cloch Breac),53.555,-10.109,Number of Wet Days,136
2001,CLEGGAN (Cloch Breac),53.555,-10.109,Precipitation Amount,1094.4
2001,CLIFDEN,53.48,-10.024,Greatest Daily Fall,23
2001,CLIFDEN,53.48,-10.024,Number of Rain Days,242
2001,CLIFDEN,53.48,-10.024,Number of Wet Days,185
2001,CLIFDEN,53.48,-10.024,Precipitation Amount,1041.5
2001,CLOGHANE,52.229,-10.179,Greatest Daily Fall,31.1
2001,CLOGHANE,52.229,-10.179,Number of Rain Days,229
2001,CLOGHANE,52.229,-10.179,Number of Wet Days,203
2001,CLOGHANE,52.229,-10.179,Precipitation Amount,1704.4
2001,CLOGHER HEAD (Port),53.843,-6.278,Greatest Daily Fall,19.2
2001,CLOGHER HEAD (Port),53.843,-6.278,Number of Rain Days,60
2001,CLOGHER HEAD (Port),53.843,-6.278,Number of Wet Days,40
2001,CLOGHER HEAD (Port),53.843,-6.278,Precipitation Amount,541.2
2001,CLONASLEE WATERWORKS II,53.142,-7.527,Greatest Daily Fall,46.2
2001,CLONASLEE WATERWORKS II,53.142,-7.527,Number of Rain Days,212
2001,CLONASLEE WATERWORKS II,53.142,-7.527,Number of Wet Days,156
2001,CLONASLEE WATERWORKS II,53.142,-7.527,Precipitation Amount,941.6
2001,CLONES,54.18,-7.23,Mean Temperature,93.345
2001,CLONMEL (Redmondstown),52.373,-7.657,Greatest Daily Fall,42.3
2001,CLONMEL (Redmondstown),52.373,-7.657,Number of Rain Days,209
